date,BAC,C,CNC,CSX,CVS,DAL,FIS,TFC,USB,WFC
20241231,43.95,70.39,60.58,32.27,44.89,60.5,80.77,43.38,47.83,70.24
20250102,44.29,69.94,60.51,32.16,44.22,59.07,80.09,43.33,47.86,70.19
20250103,44.81,71,61.48,32.34,45.77,59,80.26,44.1,48.86,71.31
20250106,45.4,72.74,62.69,32,45.82,60.04,79.04,44.1,48.73,72.03
20250107,46.08,73.68,62.61,32.19,45.78,61.18,79.16,43.97,48.7,71.59
20250108,46.21,73.26,63.17,32.2,46.01,61.42,79.35,43.95,48.52,71.57
20250110,45.11,71.4,61.83,31.78,48.01,66.95,77.13,42.78,47.38,69.96
20250113,45.06,72.77,63.7,31.89,51.52,65.1,78.63,43.12,48.39,70.53
20250114,45.78,73.5,63.4,32.14,51.57,66.29,78.35,43.91,49.06,71.19
20250115,47.1,78.27,63.15,32.46,52.14,65.5,78.04,45.39,50.9,75.95
20250116,46.64,78.51,62.87,32.97,51.96,66.18,78.71,44.98,48.03,75.95
20250117,46.53,79.99,62.25,32.73,52.62,65.82,78.78,47.65,48.36,77.08
20250121,46.66,81.67,63.66,33.27,53.15,68.34,78.91,47.89,49.32,77.85
20250122,45.79,81.69,63.53,33.24,52.99,67.78,78.52,47.01,48.63,77.54
20250123,46.39,81.98,65.12,33.67,53.82,67.45,79.29,46.76,48.43,77.43
20250124,46.52,81.48,64.58,32.69,54.55,67.18,79.23,47,49.07,77.32
20250127,47.09,81.07,65.89,33.64,56.2,67.77,81.11,47.61,49.54,77.94
20250128,46.84,79.94,64.72,32.68,57.33,67.65,80.36,47.27,48.44,77.88
20250129,46.75,80.63,63.91,32.98,56.9,68.43,80.64,47.44,47.66,78.37
20250130,46.72,81.86,64.62,32.86,56.82,68.57,82.08,48.02,48,78.82
20250131,46.3,81.43,64.03,32.87,56.48,67.27,81.47,47.62,47.78,78.8
20250203,46.21,79.61,64.82,32.51,55.95,66.48,81.88,46.89,46.87,78.14
20250204,46.71,78.48,61.29,32.87,56.35,69.06,81.53,47.38,47.45,79.47
20250205,47.11,79.46,60.73,32.88,55.69,69.06,82.24,47.67,47.38,80.05
20250206,47.74,82.33,58.63,32.74,54.24,67.92,82.86,48.15,47.74,81.42
20250207,47.4,81.72,58.94,32.59,54.01,68.14,83.42,47.68,47.23,80.67
20250210,46.67,80.73,58.91,33.08,54.29,66.19,82.66,47.15,46.88,79.1
20250211,46.79,81.11,57.39,33.11,55,64.75,73.16,47.34,47.59,79.64
20250212,46.21,81.27,56.45,32.92,63.22,66.33,72.58,46.38,47.49,79.25
20250213,46.33,82.1,56.81,33.1,66.37,64.06,70.53,46.46,47.39,78.85
20250214,46.96,84.61,56.86,33.37,65.83,65.39,68.98,46.81,47.75,79.98
20250218,46.53,84.63,55.93,33.64,65.57,64.34,69.67,47.61,47.94,80.78
20250219,46.01,83.94,57.66,32.41,66.4,65.04,69.42,47.53,47.12,80.35
